Date,Value,Anomaly
1895,1.99,-0.53
1896,2.59,0.07
1897,2.42,-0.1
1898,2.02,-0.5
1899,1.78,-0.74
1900,3.41,0.89
1901,2.53,0.01
1902,1.85,-0.67
1903,1.99,-0.53
1904,2.12,-0.4
1905,2.8,0.28
1906,2.08,-0.44
1907,2.32,-0.2
1908,2.69,0.17
1909,2.28,-0.24
1910,2.06,-0.46
1911,2.85,0.33
1912,3.34,0.82
1913,2.05,-0.47
1914,2.73,0.21
1915,2.32,-0.2
1916,2.09,-0.43
1917,2.68,0.16
1918,2.82,0.3
1919,2.41,-0.11
1920,3.3,0.78
1921,2.79,0.27
1922,3.08,0.56
1923,2.84,0.32
1924,2.26,-0.26
1925,2.1,-0.42
1926,2.18,-0.34
1927,3.05,0.53
1928,2.92,0.4
1929,2.93,0.41
1930,1.83,-0.69
1931,2.07,-0.45
1932,2.14,-0.38
1933,2.54,0.02
1934,1.77,-0.75
1935,2.73,0.21
1936,2,-0.52
1937,2.68,0.16
1938,2.69,0.17
1939,2.16,-0.36
1940,3.04,0.52
1941,3.01,0.49
1942,2.84,0.32
1943,2.13,-0.39
1944,3.3,0.78
1945,3.05,0.53
1946,1.66,-0.86
1947,3.01,0.49
1948,2.54,0.02
1949,2.09,-0.43
1950,2.08,-0.44
1951,2.35,-0.17
1952,2.4,-0.12
1953,2.96,0.44
1954,2.4,-0.12
1955,2.49,-0.03
1956,2.07,-0.45
1957,3.65,1.13
1958,3.05,0.53
1959,2.14,-0.38
1960,2.15,-0.37
1961,2.3,-0.22
1962,2.1,-0.42
1963,2.3,-0.22
1964,3.29,0.77
1965,2.52,0
1966,2.49,-0.03
1967,2.67,0.15
1968,2.46,-0.06
1969,2.6,0.08
1970,2.78,0.26
1971,1.86,-0.66
1972,2.26,-0.26
1973,3.33,0.81
1974,2.55,0.03
1975,2.67,0.15
1976,2.29,-0.23
1977,2.27,-0.25
1978,2.54,0.02
1979,3.07,0.55
1980,2.38,-0.14
1981,2.19,-0.33
1982,2.52,0
1983,3.2,0.68
1984,2.95,0.43
1985,1.97,-0.55
1986,2.24,-0.28
1987,1.46,-1.06
1988,2.32,-0.2
1989,1.79,-0.73
1990,2.49,-0.03
1991,3.35,0.83
1992,2.06,-0.46
1993,2.92,0.4
1994,2.82,0.3
1995,2.83,0.31
1996,2.56,0.04
1997,2.99,0.47
1998,2.57,0.05
1999,2.87,0.35
2000,2.32,-0.2
2001,2.1,-0.42
2002,2.26,-0.26
2003,2.63,0.11
2004,2.5,-0.02
2005,2.57,0.05
2006,2.54,0.02
2007,2.49,-0.03
2008,2.54,0.02
2009,2.83,0.31
2010,2.38,-0.14
2011,3.42,0.9
2012,2.23,-0.29
2013,2.9,0.38
2014,2.88,0.36
2015,2.83,0.31
2016,3,0.48
2017,3.5,0.98
2018,2.46,-0.06
2019,3.2,0.68
