Date,Value,Anomaly
189504,1.99,-0.53
189604,2.59,0.07
189704,2.42,-0.1
189804,2.02,-0.5
189904,1.78,-0.74
190004,3.41,0.89
190104,2.53,0.01
190204,1.85,-0.67
190304,1.99,-0.53
190404,2.12,-0.4
190504,2.8,0.28
190604,2.08,-0.44
190704,2.32,-0.2
190804,2.69,0.17
190904,2.28,-0.24
191004,2.06,-0.46
191104,2.85,0.33
191204,3.34,0.82
191304,2.05,-0.47
191404,2.73,0.21
191504,2.32,-0.2
191604,2.09,-0.43
191704,2.68,0.16
191804,2.82,0.3
191904,2.41,-0.11
192004,3.3,0.78
192104,2.79,0.27
192204,3.08,0.56
192304,2.84,0.32
192404,2.26,-0.26
192504,2.1,-0.42
192604,2.18,-0.34
192704,3.05,0.53
192804,2.92,0.4
192904,2.93,0.41
193004,1.83,-0.69
193104,2.07,-0.45
193204,2.14,-0.38
193304,2.54,0.02
193404,1.77,-0.75
193504,2.73,0.21
193604,2,-0.52
193704,2.68,0.16
193804,2.69,0.17
193904,2.16,-0.36
194004,3.04,0.52
194104,3.01,0.49
194204,2.84,0.32
194304,2.13,-0.39
194404,3.3,0.78
194504,3.05,0.53
194604,1.66,-0.86
194704,3.01,0.49
194804,2.54,0.02
194904,2.09,-0.43
195004,2.08,-0.44
195104,2.35,-0.17
195204,2.4,-0.12
195304,2.96,0.44
195404,2.4,-0.12
195504,2.49,-0.03
195604,2.07,-0.45
195704,3.65,1.13
195804,3.05,0.53
195904,2.14,-0.38
196004,2.15,-0.37
196104,2.3,-0.22
196204,2.1,-0.42
196304,2.3,-0.22
196404,3.29,0.77
196504,2.52,0
196604,2.49,-0.03
196704,2.67,0.15
196804,2.46,-0.06
196904,2.6,0.08
197004,2.78,0.26
197104,1.86,-0.66
197204,2.26,-0.26
197304,3.33,0.81
197404,2.55,0.03
197504,2.67,0.15
197604,2.29,-0.23
197704,2.27,-0.25
197804,2.54,0.02
197904,3.07,0.55
198004,2.38,-0.14
198104,2.19,-0.33
198204,2.52,0
198304,3.2,0.68
198404,2.95,0.43
198504,1.97,-0.55
198604,2.24,-0.28
198704,1.46,-1.06
198804,2.32,-0.2
198904,1.79,-0.73
199004,2.49,-0.03
199104,3.35,0.83
199204,2.06,-0.46
199304,2.92,0.4
199404,2.82,0.3
199504,2.83,0.31
199604,2.56,0.04
199704,2.99,0.47
199804,2.57,0.05
199904,2.87,0.35
200004,2.32,-0.2
200104,2.1,-0.42
200204,2.26,-0.26
200304,2.63,0.11
200404,2.5,-0.02
200504,2.57,0.05
200604,2.54,0.02
200704,2.49,-0.03
200804,2.54,0.02
200904,2.83,0.31
201004,2.38,-0.14
201104,3.42,0.9
201204,2.23,-0.29
201304,2.9,0.38
201404,2.88,0.36
201504,2.83,0.31
201604,3,0.48
201704,3.5,0.98
201804,2.46,-0.06
201904,3.2,0.68
